
2024/09/27 (00:33:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (00:33:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/27 (15:15:16) | ===> btop++ v.1.3.2
2024/09/27 (15:15:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (15:15:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/28 (03:48:33) | ===> btop++ v.1.3.2
2024/09/28 (03:48:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (03:48:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/28 (10:11:39) | ===> btop++ v.1.3.2
2024/09/28 (10:11:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (10:11:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/28 (10:12:01) | ===> btop++ v.1.3.2
2024/09/28 (10:12:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (10:12:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/28 (10:12:31) | ===> btop++ v.1.3.2
2024/09/28 (10:12:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (10:12:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/28 (10:12:44) | ===> btop++ v.1.3.2
2024/09/28 (10:12:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (10:12:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/28 (18:56:12) | ===> btop++ v.1.3.2
2024/09/28 (18:56:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/28 (18:56:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/03 (02:03:00) | ===> btop++ v.1.3.2
2024/10/03 (02:03:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (02:03:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/07 (19:00:19) | ===> btop++ v.1.3.2
2024/10/07 (19:00:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
